feature_name,feature_group,feature_set_id,uses_future_data,uses_target_data,uses_future_returns,uses_full_sample_fit,uses_full_sample_normalization,uses_full_sample_winsorization,uses_full_sample_imputation,uses_cross_market_data,unavailable_but_modeling_eligible,leakage_check_status,leakage_check_passed,manual_review_required,manual_review_status
ret_mean_5,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
rolling_vol_5,volatility,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
momentum_5,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
ma_distance_5,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
ret_mean_10,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
rolling_vol_10,volatility,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
momentum_10,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
ma_distance_10,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
ret_mean_20,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
rolling_vol_20,volatility,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
momentum_20,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
ma_distance_20,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
ret_mean_63,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
rolling_vol_63,volatility,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
momentum_63,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
ma_distance_63,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
ret_lag_1,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
reversal_5,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
rolling_skew_20,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
rolling_kurtosis_20,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
rolling_drawdown_63,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
range_hl_1,technical,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
ewma_vol_20,volatility,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
realized_var_trailing_20,volatility,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
hurst_rs_63,hurst,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
hurst_rs_126,hurst,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
hurst_zscore_252,hurst,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
hurst_delta_20,hurst,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
hurst_regime_label,hurst,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
vol_zscore_252,volatility,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
vol_regime_label,volatility,gold_only_mvp_feature_set_v1,False,False,False,False,False,False,False,False,False,PASS_WITH_EXCLUSION,True,False,not_required
