task,horizon,selected_model_id,primary_comparison_baseline_id,metric_name,selected_model_metric,baseline_metric,improvement_absolute,selected_better_than_baseline,baseline_selected_pre_locked_test_evaluation,post_hoc_baseline_selection_used,metric_valid
direction_classification,1,direction_classification_h1_hge_rule_based,majority_class_static_v1,macro_f1,0.29362852471499923,0.20615796519410978,0.08747055952088945,True,True,False,True
direction_classification,5,direction_classification_h5_tree_ensemble,majority_class_static_v1,macro_f1,0.4205542684214684,0.17638266068759342,0.244171607733875,True,True,False,True
direction_classification,10,direction_classification_h10_tree_ensemble,majority_class_static_v1,macro_f1,0.413701334596857,0.16339869281045752,0.2503026417863995,True,True,False,True
direction_classification,20,direction_classification_h20_tree_ensemble,majority_class_static_v1,macro_f1,0.39629243626116994,0.17037037037037037,0.22592206589079958,True,True,False,True
return_regression,1,return_regression_h1_baseline,historical_mean_return_static_v1,RMSE,0.010579839744898798,0.010577192898901753,-2.646845997045233e-06,False,True,False,True
return_regression,5,return_regression_h5_baseline,historical_mean_return_static_v1,RMSE,0.026517649598873948,0.026489260264118294,-2.8389334755653944e-05,False,True,False,True
return_regression,10,return_regression_h10_tree_ensemble,historical_mean_return_static_v1,RMSE,0.040861921084541786,0.03856832058762095,-0.0022936004969208376,False,True,False,True
return_regression,20,return_regression_h20_baseline,historical_mean_return_static_v1,RMSE,0.06203828881022288,0.06158938565499196,-0.0004489031552309189,False,True,False,True
trade_action_classification,1,trade_action_classification_h1_tree_ensemble,flat_or_majority_static_v1,macro_f1,0.255428024868484,0.20430107526881722,0.051126949599666766,True,True,False,True
trade_action_classification,5,trade_action_classification_h5_tree_ensemble,flat_or_majority_static_v1,macro_f1,0.41233974989830596,0.2345191040843215,0.17782064581398446,True,True,False,True
trade_action_classification,10,trade_action_classification_h10_tree_ensemble,flat_or_majority_static_v1,macro_f1,0.34954353932584264,0.22028985507246376,0.12925368425337888,True,True,False,True
trade_action_classification,20,trade_action_classification_h20_hge_rule_based,flat_or_majority_static_v1,macro_f1,0.32910862449569916,0.20138888888888887,0.1277197356068103,True,True,False,True
volatility_regression,1,volatility_regression_h1_hge_rule_based,historical_variance_static_v1,QLIKE,-7.980951599985679,-8.088901656397828,-0.10795005641214939,False,True,False,True
volatility_regression,5,volatility_regression_h5_tree_ensemble,historical_variance_static_v1,QLIKE,-6.415005174132998,-6.458370037745903,-0.04336486361290515,False,True,False,True
volatility_regression,10,volatility_regression_h10_tree_ensemble,historical_variance_static_v1,QLIKE,-5.720522993798436,-5.766428334358781,-0.045905340560344676,False,True,False,True
volatility_regression,20,volatility_regression_h20_hge_rule_based,historical_variance_static_v1,QLIKE,-4.982594423764535,-5.046751132829574,-0.06415670906503923,False,True,False,True
