test_family_id,task,horizon,selected_model_id,baseline_model_id,metric_name,test_method,p_value,confidence_interval_low,confidence_interval_high,n_test,minimum_n_test,n_test_sufficient,n_bootstrap,bootstrap_seed,block_length,test_valid,q_value
direction_classification_primary,direction_classification,1,direction_classification_h1_hge_rule_based,majority_class_static_v1,macro_f1,moving_block_bootstrap,0.0708,-0.008733847766996608,0.18554784197801893,172,30,True,5000,42,20,True,0.0944
direction_classification_primary,direction_classification,5,direction_classification_h5_tree_ensemble,majority_class_static_v1,macro_f1,moving_block_bootstrap,0.0,0.1375330890764618,0.37151002126307686,164,30,True,5000,42,20,True,0.0
direction_classification_primary,direction_classification,10,direction_classification_h10_tree_ensemble,majority_class_static_v1,macro_f1,moving_block_bootstrap,0.0,0.10562924639766925,0.3975425475559604,154,30,True,5000,42,20,True,0.0
direction_classification_primary,direction_classification,20,direction_classification_h20_tree_ensemble,majority_class_static_v1,macro_f1,moving_block_bootstrap,0.0948,-0.022889099050722745,0.3124701747773025,134,30,True,5000,42,20,True,0.0948
return_regression_primary,return_regression,1,return_regression_h1_baseline,historical_mean_return_static_v1,RMSE,moving_block_bootstrap,0.564,-3.893656961653587e-07,1.9481853408073473e-07,172,30,True,5000,42,20,True,0.712
return_regression_primary,return_regression,5,return_regression_h5_baseline,historical_mean_return_static_v1,RMSE,moving_block_bootstrap,0.4604,-1.0217293825087498e-05,4.313366155740462e-06,164,30,True,5000,42,20,True,0.712
return_regression_primary,return_regression,10,return_regression_h10_tree_ensemble,historical_mean_return_static_v1,RMSE,moving_block_bootstrap,0.712,-0.0009895795465796851,0.0005963626918622265,154,30,True,5000,42,20,True,0.712
return_regression_primary,return_regression,20,return_regression_h20_baseline,historical_mean_return_static_v1,RMSE,moving_block_bootstrap,0.0956,-0.0001478677442700014,1.2512566867568851e-05,134,30,True,5000,42,20,True,0.3824
trade_action_classification_primary,trade_action_classification,1,trade_action_classification_h1_tree_ensemble,flat_or_majority_static_v1,macro_f1,moving_block_bootstrap,0.0016,0.015334194727824485,0.07599290861260868,172,30,True,5000,42,20,True,0.0032
trade_action_classification_primary,trade_action_classification,5,trade_action_classification_h5_tree_ensemble,flat_or_majority_static_v1,macro_f1,moving_block_bootstrap,0.0,0.09270143485232307,0.2761305435816995,164,30,True,5000,42,20,True,0.0
trade_action_classification_primary,trade_action_classification,10,trade_action_classification_h10_tree_ensemble,flat_or_majority_static_v1,macro_f1,moving_block_bootstrap,0.0108,0.030822131560348198,0.2441972574817094,154,30,True,5000,42,20,True,0.014400000000000001
trade_action_classification_primary,trade_action_classification,20,trade_action_classification_h20_hge_rule_based,flat_or_majority_static_v1,macro_f1,moving_block_bootstrap,0.0768,-0.008957023370923712,0.2709058729985819,134,30,True,5000,42,20,True,0.0768
volatility_regression_primary,volatility_regression,1,volatility_regression_h1_hge_rule_based,historical_variance_static_v1,QLIKE,moving_block_bootstrap,0.0,-0.16510157616188265,-0.059142051564412636,172,30,True,5000,42,20,True,0.0
volatility_regression_primary,volatility_regression,5,volatility_regression_h5_tree_ensemble,historical_variance_static_v1,QLIKE,moving_block_bootstrap,0.0076,-0.07897304498791548,-0.010024495781219271,164,30,True,5000,42,20,True,0.010133333333333333
volatility_regression_primary,volatility_regression,10,volatility_regression_h10_tree_ensemble,historical_variance_static_v1,QLIKE,moving_block_bootstrap,0.014,-0.09116810715212327,-0.01173132886420413,154,30,True,5000,42,20,True,0.014
volatility_regression_primary,volatility_regression,20,volatility_regression_h20_hge_rule_based,historical_variance_static_v1,QLIKE,moving_block_bootstrap,0.0,-0.10349465427443312,-0.019313128949094312,134,30,True,5000,42,20,True,0.0
