calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.3595496772161864,0.35622485253330205,-0.18257140332765592,8,361,679,680,839,outer_01
none,0.05,0.3595496772161864,0.35622485253330205,-0.18257140332765592,8,361,679,680,839,outer_01
sigmoid,0.0,0.5,0.3522267206477733,0.06378462123683898,8,361,679,680,839,outer_01
sigmoid,0.05,0.5,0.3522267206477733,0.06378462123683898,8,361,679,680,839,outer_01
none,0.0,0.4842747111681643,0.45517241379310347,0.10938746763319702,16,361,991,992,1307,outer_02
none,0.05,0.4842747111681643,0.45517241379310347,0.05967028232205525,16,361,991,992,1307,outer_02
sigmoid,0.0,0.5,0.3416666666666667,-0.04172638319276249,16,361,991,992,1307,outer_02
sigmoid,0.05,0.5,0.3416666666666667,-0.053627325185048584,13,361,991,992,1307,outer_02
none,0.0,0.5140146381133098,0.41402259082120685,-0.09095795279115113,24,361,1303,1304,1775,outer_03
none,0.05,0.5140146381133098,0.41402259082120685,-0.07647929259334138,24,361,1303,1304,1775,outer_03
sigmoid,0.0,0.5,0.3149492017416546,-0.1295618517854241,24,361,1303,1304,1775,outer_03
sigmoid,0.05,0.5,0.3149492017416546,-0.12240289049176045,23,361,1303,1304,1775,outer_03
none,0.0,0.46907300151135545,0.4667584624211131,-0.10589061629269803,32,361,1615,1616,2243,outer_04
none,0.05,0.46907300151135545,0.4667584624211131,-0.14180080298008568,32,361,1615,1616,2243,outer_04
sigmoid,0.0,0.5,0.33120340788072417,-0.17629513172637412,32,361,1615,1616,2243,outer_04
sigmoid,0.05,0.5,0.33120340788072417,-0.03423569729355845,17,361,1615,1616,2243,outer_04
none,0.0,0.45769447482682046,0.4412193073303595,-0.15915437907842353,40,361,1927,1928,2711,outer_05
none,0.05,0.45769447482682046,0.4412193073303595,-0.1368170706769422,39,361,1927,1928,2711,outer_05
sigmoid,0.0,0.4664943157336515,0.3287223395974647,-0.3943294617725275,40,361,1927,1928,2711,outer_05
sigmoid,0.05,0.4664943157336515,0.3287223395974647,-0.2745091179122269,29,361,1927,1928,2711,outer_05
