calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.4822076978939724,0.4819277108433735,-0.10542490674494329,166,342,673,674,839,outer_01
none,0.05,0.4822076978939724,0.4819277108433735,-0.13398731088355476,128,342,673,674,839,outer_01
sigmoid,0.0,0.5,0.3386454183266932,-0.033672160481183155,166,342,673,674,839,outer_01
sigmoid,0.05,0.5,0.3386454183266932,0.0,0,342,673,674,839,outer_01
none,0.0,0.5241617357001972,0.5166641244661379,-0.044503280147851175,325,342,990,991,1315,outer_02
none,0.05,0.5241617357001972,0.5166641244661379,0.007796923598363481,207,342,990,991,1315,outer_02
sigmoid,0.0,0.5,0.34210526315789475,-0.21029830074421063,325,342,990,991,1315,outer_02
sigmoid,0.05,0.5,0.34210526315789475,0.0,0,342,990,991,1315,outer_02
none,0.0,0.5126377851832863,0.49894736842105264,-0.23574243350822574,484,342,1307,1308,1791,outer_03
none,0.05,0.5126377851832863,0.49894736842105264,-0.20510961928602428,341,342,1307,1308,1791,outer_03
sigmoid,0.0,0.5,0.32684283727399166,-0.3478370684851474,484,342,1307,1308,1791,outer_03
sigmoid,0.05,0.5,0.32684283727399166,0.06214975467451038,69,342,1307,1308,1791,outer_03
none,0.0,0.5027672052198229,0.49157471089204385,-0.18737342207421454,642,342,1624,1625,2266,outer_04
none,0.05,0.5027672052198229,0.49157471089204385,-0.012020786962282023,374,342,1624,1625,2266,outer_04
sigmoid,0.0,0.5,0.3284518828451883,-0.4779227845746534,642,342,1624,1625,2266,outer_04
sigmoid,0.05,0.5,0.3284518828451883,0.0,0,342,1624,1625,2266,outer_04
none,0.0,0.5112861916418624,0.5107452262803329,-0.27228777025083684,800,342,1941,1942,2741,outer_05
none,0.05,0.5112861916418624,0.5107452262803329,-0.19694698620276818,421,342,1941,1942,2741,outer_05
sigmoid,0.0,0.5,0.3144815766923736,-0.784474374033766,800,342,1941,1942,2741,outer_05
sigmoid,0.05,0.5,0.3144815766923736,0.0,0,342,1941,1942,2741,outer_05
