calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.5479664014146772,0.537956960374391,0.1421895840225348,33,346,674,675,839,outer_01
none,0.05,0.5479664014146772,0.537956960374391,0.17477942054221463,32,346,674,675,839,outer_01
sigmoid,0.0,0.4995579133510168,0.4988888888888888,0.1080538211707539,33,346,674,675,839,outer_01
sigmoid,0.05,0.4995579133510168,0.4988888888888888,0.0,0,346,674,675,839,outer_01
none,0.0,0.5989293444650587,0.5950554134697357,0.18826993729383423,65,346,990,991,1313,outer_02
none,0.05,0.5989293444650587,0.5950554134697357,0.29159563858860627,62,346,990,991,1313,outer_02
sigmoid,0.0,0.5,0.3527054108216433,-0.08033078991493825,65,346,990,991,1313,outer_02
sigmoid,0.05,0.5,0.3527054108216433,0.0,0,346,990,991,1313,outer_02
none,0.0,0.5506688847300201,0.5397544683155805,0.26050596807861565,97,346,1306,1307,1787,outer_03
none,0.05,0.5506688847300201,0.5397544683155805,0.194190622130893,95,346,1306,1307,1787,outer_03
sigmoid,0.0,0.49320718098010674,0.44636279926335176,0.05967445238643253,97,346,1306,1307,1787,outer_03
sigmoid,0.05,0.49320718098010674,0.44636279926335176,0.08066571124693692,32,346,1306,1307,1787,outer_03
none,0.0,0.4889512849867751,0.40192118226600987,0.05633066919016549,128,346,1622,1623,2261,outer_04
none,0.05,0.4889512849867751,0.40192118226600987,0.0742140281059418,126,346,1622,1623,2261,outer_04
sigmoid,0.0,0.4951294856105168,0.46737318409145034,0.18661277486228478,128,346,1622,1623,2261,outer_04
sigmoid,0.05,0.4951294856105168,0.46737318409145034,0.001369349675607561,4,346,1622,1623,2261,outer_04
none,0.0,0.5321114427079243,0.5269879153838198,-0.012860888009152194,160,346,1938,1939,2735,outer_05
none,0.05,0.5321114427079243,0.5269879153838198,-0.14286432073561578,154,346,1938,1939,2735,outer_05
sigmoid,0.0,0.5063745124217911,0.3120490460802975,-0.41434286387813646,160,346,1938,1939,2735,outer_05
sigmoid,0.05,0.5063745124217911,0.3120490460802975,-0.1479055942475953,34,346,1938,1939,2735,outer_05
