calibration_candidate,calibration,margin,eligible,eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,calibration_start_row,calibration_end_row,evaluation_end_row,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,outer_fold
none,none,0.0,True,not_applicable,329,6,323,680,674,675,0,2,True,346,674,839,0.42108753315649866,0.4176470588235294,-0.012483168940614513,33,outer_01
none,none,0.05,True,not_applicable,329,6,323,680,674,675,0,2,True,346,674,839,0.42108753315649866,0.4176470588235294,-0.01337193465634777,33,outer_01
sigmoid,sigmoid,0.0,True,eligible,329,6,323,680,674,675,0,2,True,346,674,839,0.496684350132626,0.3648511127826202,0.034052302545189206,33,outer_01
sigmoid,sigmoid,0.05,True,eligible,329,6,323,680,674,675,0,2,True,346,674,839,0.496684350132626,0.3648511127826202,0.0,0,outer_01
none,none,0.0,True,not_applicable,645,6,639,996,990,991,0,2,True,346,990,1313,0.5806470315398887,0.580763270050368,0.25362610889885906,65,outer_02
none,none,0.05,True,not_applicable,645,6,639,996,990,991,0,2,True,346,990,1313,0.5806470315398887,0.580763270050368,0.07226737219489096,60,outer_02
sigmoid,sigmoid,0.0,True,eligible,645,6,639,996,990,991,0,2,True,346,990,1313,0.41774891774891776,0.4178385203319422,-0.15772979670557008,65,outer_02
sigmoid,sigmoid,0.05,True,eligible,645,6,639,996,990,991,0,2,True,346,990,1313,0.41774891774891776,0.4178385203319422,0.0,0,outer_02
none,none,0.0,True,not_applicable,961,6,955,1312,1306,1307,0,2,True,346,1306,1787,0.5110729881472239,0.4565732959850607,0.19032161188741709,97,outer_03
none,none,0.05,True,not_applicable,961,6,955,1312,1306,1307,0,2,True,346,1306,1787,0.5110729881472239,0.4565732959850607,0.0463976123830143,90,outer_03
sigmoid,sigmoid,0.0,True,eligible,961,6,955,1312,1306,1307,0,2,True,346,1306,1787,0.49007070076939074,0.3379500193556712,-0.15591894556559632,97,outer_03
sigmoid,sigmoid,0.05,True,eligible,961,6,955,1312,1306,1307,0,2,True,346,1306,1787,0.49007070076939074,0.3379500193556712,0.01271496730670868,70,outer_03
none,none,0.0,True,not_applicable,1277,6,1271,1628,1622,1623,0,2,True,346,1622,2261,0.49082645770005134,0.47617481203007517,0.1306490864605223,128,outer_04
none,none,0.05,True,not_applicable,1277,6,1271,1628,1622,1623,0,2,True,346,1622,2261,0.49082645770005134,0.47617481203007517,0.05744201026800708,122,outer_04
sigmoid,sigmoid,0.0,True,eligible,1277,6,1271,1628,1622,1623,0,2,True,346,1622,2261,0.49998519600489516,0.467345782389161,-0.10613486563057428,128,outer_04
sigmoid,sigmoid,0.05,True,eligible,1277,6,1271,1628,1622,1623,0,2,True,346,1622,2261,0.49998519600489516,0.467345782389161,0.0,0,outer_04
none,none,0.0,True,not_applicable,1593,6,1587,1944,1938,1939,0,2,True,346,1938,2735,0.5425436529752088,0.5371329466892607,0.24474562396130234,160,outer_05
none,none,0.05,True,not_applicable,1593,6,1587,1944,1938,1939,0,2,True,346,1938,2735,0.5425436529752088,0.5371329466892607,0.45717401117762135,141,outer_05
sigmoid,sigmoid,0.0,True,eligible,1593,6,1587,1944,1938,1939,0,2,True,346,1938,2735,0.49898557553862666,0.29052214242968283,-0.4405369705237109,160,outer_05
sigmoid,sigmoid,0.05,True,eligible,1593,6,1587,1944,1938,1939,0,2,True,346,1938,2735,0.49898557553862666,0.29052214242968283,0.0,0,outer_05
