calibration_candidate,calibration,margin,eligible,eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,calibration_start_row,calibration_end_row,evaluation_end_row,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,outer_fold
none,none,0.0,True,not_applicable,326,11,315,687,676,677,0,2,True,351,676,839,0.36978221415607987,0.36809815950920244,-0.19240894894733684,17,outer_01
none,none,0.05,True,not_applicable,326,11,315,687,676,677,0,2,True,351,676,839,0.36978221415607987,0.36809815950920244,-0.19240894894733684,17,outer_01
sigmoid,sigmoid,0.0,True,eligible,326,11,315,687,676,677,0,2,True,351,676,839,0.6038263762855414,0.5999454595036815,0.13190180135261564,17,outer_01
sigmoid,sigmoid,0.05,True,eligible,326,11,315,687,676,677,0,2,True,351,676,839,0.6038263762855414,0.5999454595036815,0.0,0,outer_01
none,none,0.0,True,not_applicable,640,11,629,1001,990,991,0,2,True,351,990,1311,0.517994558880684,0.508402982833692,-0.12079344632752742,33,outer_02
none,none,0.05,True,not_applicable,640,11,629,1001,990,991,0,2,True,351,990,1311,0.517994558880684,0.508402982833692,0.08091172628284071,32,outer_02
sigmoid,sigmoid,0.0,True,eligible,640,11,629,1001,990,991,0,2,True,351,990,1311,0.48523124757092884,0.4688432003963339,0.08780169357855827,33,outer_02
sigmoid,sigmoid,0.05,True,eligible,640,11,629,1001,990,991,0,2,True,351,990,1311,0.48523124757092884,0.4688432003963339,-0.1050359837309229,19,outer_02
none,none,0.0,True,not_applicable,955,11,944,1316,1305,1306,0,2,True,351,1305,1783,0.5076393789696543,0.4917025172634413,-0.12314347748582008,48,outer_03
none,none,0.05,True,not_applicable,955,11,944,1316,1305,1306,0,2,True,351,1305,1783,0.5076393789696543,0.4917025172634413,-0.08924589893241097,47,outer_03
sigmoid,sigmoid,0.0,True,eligible,955,11,944,1316,1305,1306,0,2,True,351,1305,1783,0.5,0.3132183908045977,-0.1355742687819884,48,outer_03
sigmoid,sigmoid,0.05,True,eligible,955,11,944,1316,1305,1306,0,2,True,351,1305,1783,0.5,0.3132183908045977,0.0,0,outer_03
none,none,0.0,True,not_applicable,1270,11,1259,1631,1620,1621,0,2,True,351,1620,2255,0.5210481099656358,0.5032896146757533,0.07847352168930977,64,outer_04
none,none,0.05,True,not_applicable,1270,11,1259,1631,1620,1621,0,2,True,351,1620,2255,0.5210481099656358,0.5032896146757533,0.035169950205437894,62,outer_04
sigmoid,sigmoid,0.0,True,eligible,1270,11,1259,1631,1620,1621,0,2,True,351,1620,2255,0.4891612722768321,0.3146016825796265,-0.18036141805025485,64,outer_04
sigmoid,sigmoid,0.05,True,eligible,1270,11,1259,1631,1620,1621,0,2,True,351,1620,2255,0.4891612722768321,0.3146016825796265,0.0,0,outer_04
none,none,0.0,True,not_applicable,1584,11,1573,1945,1934,1935,0,2,True,351,1934,2727,0.4951535047881037,0.4945924735358063,0.00713661340381809,80,outer_05
none,none,0.05,True,not_applicable,1584,11,1573,1945,1934,1935,0,2,True,351,1934,2727,0.4951535047881037,0.4945924735358063,0.034909616363535234,76,outer_05
sigmoid,sigmoid,0.0,True,eligible,1584,11,1573,1945,1934,1935,0,2,True,351,1934,2727,0.5045837334232995,0.42554127794402397,-0.3431764244359274,80,outer_05
sigmoid,sigmoid,0.05,True,eligible,1584,11,1573,1945,1934,1935,0,2,True,351,1934,2727,0.5045837334232995,0.42554127794402397,0.0,0,outer_05
