calibration_candidate,calibration,margin,eligible,eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,calibration_start_row,calibration_end_row,evaluation_end_row,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,outer_fold
none,none,0.0,True,not_applicable,326,11,315,687,676,677,0,2,True,351,676,839,0.38135208711433755,0.37022727272727274,-0.1432898708894681,17,outer_01
none,none,0.05,True,not_applicable,326,11,315,687,676,677,0,2,True,351,676,839,0.38135208711433755,0.37022727272727274,-0.17952199178465356,17,outer_01
sigmoid,sigmoid,0.0,True,eligible,326,11,315,687,676,677,0,2,True,351,676,839,0.5809134906231095,0.5809134906231095,0.12629411947333247,17,outer_01
sigmoid,sigmoid,0.05,True,eligible,326,11,315,687,676,677,0,2,True,351,676,839,0.5809134906231095,0.5809134906231095,0.09318559110735188,10,outer_01
none,none,0.0,True,not_applicable,640,11,629,1001,990,991,0,2,True,351,990,1311,0.6077147298872911,0.5825306364126585,0.2634621792726163,33,outer_02
none,none,0.05,True,not_applicable,640,11,629,1001,990,991,0,2,True,351,990,1311,0.6077147298872911,0.5825306364126585,0.2576090397287907,32,outer_02
sigmoid,sigmoid,0.0,True,eligible,640,11,629,1001,990,991,0,2,True,351,990,1311,0.3942285270112709,0.3556515625477629,-0.15243738378086624,33,outer_02
sigmoid,sigmoid,0.05,True,eligible,640,11,629,1001,990,991,0,2,True,351,990,1311,0.3942285270112709,0.3556515625477629,-0.16405815144639196,24,outer_02
none,none,0.0,True,not_applicable,955,11,944,1316,1305,1306,0,2,True,351,1305,1783,0.5515349329569513,0.5441011818370309,0.2545152355676862,48,outer_03
none,none,0.05,True,not_applicable,955,11,944,1316,1305,1306,0,2,True,351,1305,1783,0.5515349329569513,0.5441011818370309,0.20289748586984346,48,outer_03
sigmoid,sigmoid,0.0,True,eligible,955,11,944,1316,1305,1306,0,2,True,351,1305,1783,0.5,0.3132183908045977,-0.1355742687819884,48,outer_03
sigmoid,sigmoid,0.05,True,eligible,955,11,944,1316,1305,1306,0,2,True,351,1305,1783,0.5,0.3132183908045977,0.01983592807967849,15,outer_03
none,none,0.0,True,not_applicable,1270,11,1259,1631,1620,1621,0,2,True,351,1620,2255,0.4831025733237433,0.4189476115597488,-0.028876385540857807,64,outer_04
none,none,0.05,True,not_applicable,1270,11,1259,1631,1620,1621,0,2,True,351,1620,2255,0.4831025733237433,0.4189476115597488,0.08229158515121812,63,outer_04
sigmoid,sigmoid,0.0,True,eligible,1270,11,1259,1631,1620,1621,0,2,True,351,1620,2255,0.5206535203388476,0.5056054675563137,0.0471579540514786,64,outer_04
sigmoid,sigmoid,0.05,True,eligible,1270,11,1259,1631,1620,1621,0,2,True,351,1620,2255,0.5206535203388476,0.5056054675563137,0.0,0,outer_04
none,none,0.0,True,not_applicable,1584,11,1573,1945,1934,1935,0,2,True,351,1934,2727,0.5158857343056601,0.5148523118672372,-0.13049367824514263,80,outer_05
none,none,0.05,True,not_applicable,1584,11,1573,1945,1934,1935,0,2,True,351,1934,2727,0.5158857343056601,0.5148523118672372,0.11952746195000447,78,outer_05
sigmoid,sigmoid,0.0,True,eligible,1584,11,1573,1945,1934,1935,0,2,True,351,1934,2727,0.5134073391638336,0.43530842522069035,-0.21180783052802482,80,outer_05
sigmoid,sigmoid,0.05,True,eligible,1584,11,1573,1945,1934,1935,0,2,True,351,1934,2727,0.5134073391638336,0.43530842522069035,-0.03801542288479561,5,outer_05
