horizon,candidate,selection_fold,candidate_selection_policy,candidate_selection_fold_count,stability_median_balanced_accuracy,stability_median_macro_f1,stability_balanced_accuracy_std,stability_median_roc_auc,n_samples,accuracy,balanced_accuracy,macro_f1,precision_down,precision_up,recall_down,recall_up,mcc,roc_auc,brier_score,threshold,confusion_matrix
1,logistic_c02,wf_05,median_preselection_folds_v2_1,3,0.5074516986281692,0.5007146245908438,0.012509458368181747,0.5109879494795817,583,0.5008576329331046,0.5158710513908534,0.42643911707331916,0.48927875243664715,0.5857142857142857,0.8964285714285715,0.1353135313531353,0.048789719459117274,0.4981140971239981,0.25637956689935015,0.585,"[[251, 29], [262, 41]]"
1,logistic_c10,wf_05,median_preselection_folds_v2_1,3,0.5099434905455336,0.5025179598558438,0.017138586593166742,0.5082349247748075,583,0.5008576329331046,0.5165487977369165,0.4179780369070531,0.4894837476099426,0.6,0.9142857142857143,0.1188118811881188,0.05442147443681089,0.4963932107496464,0.25759717496328793,0.6000000000000001,"[[256, 24], [267, 36]]"
1,random_forest,wf_05,median_preselection_folds_v2_1,3,0.4972650872998623,0.4708968772694263,0.01697831366865952,0.5231229925861528,583,0.5145797598627787,0.5269035832154644,0.46946998125335626,0.49682875264270615,0.5909090909090909,0.8392857142857143,0.2145214521452145,0.06870898595003667,0.5121169259783122,0.2517483432498376,0.515,"[[235, 45], [238, 65]]"
1,extra_trees,wf_05,median_preselection_folds_v2_1,3,0.5172607404187496,0.4662264856110626,0.009312083359297514,0.5257069719143181,583,0.516295025728988,0.5266560584629891,0.48624409389765255,0.49774774774774777,0.5755395683453237,0.7892857142857143,0.264026402640264,0.0625068153463681,0.5144743045733144,0.251800850130646,0.49,"[[221, 59], [223, 80]]"
1,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,3,0.5154087072943314,0.5025535773948737,0.01664473191414432,0.5229516819279413,583,0.5283018867924528,0.5317008486562942,0.5262893527751924,0.5073313782991202,0.5578512396694215,0.6178571428571429,0.44554455445544555,0.06428599081046794,0.5221239981140972,0.26452154975809006,0.525,"[[173, 107], [168, 135]]"
5,logistic_c02,wf_05,median_preselection_folds_v2_1,3,0.5451124197646833,0.5335843170193937,0.03257869832237184,0.5430711610486891,580,0.4810344827586207,0.501658493515171,0.4208293108538936,0.4716599190283401,0.5348837209302325,0.8534798534798534,0.1498371335504886,0.004658880646015052,0.4642946629917314,0.2720617994100412,0.65,"[[233, 40], [261, 46]]"
5,logistic_c10,wf_05,median_preselection_folds_v2_1,3,0.5432667786278534,0.5328893014760003,0.02886251820839682,0.5561734154382036,580,0.5103448275862069,0.4972974907828328,0.4772187734064567,0.4658385093167702,0.5274463007159904,0.27472527472527475,0.7198697068403909,-0.006024593393996488,0.46138335063416497,0.2751267795250618,0.42,"[[75, 198], [86, 221]]"
5,random_forest,wf_05,median_preselection_folds_v2_1,3,0.5164158195337476,0.5093098948568343,0.02550566539024322,0.5332321736093548,580,0.4982758620689655,0.5191621624846381,0.43867047582305385,0.48185483870967744,0.5952380952380952,0.8754578754578755,0.16286644951140064,0.05435563129473687,0.499325864146711,0.2561564304649419,0.575,"[[239, 34], [257, 50]]"
5,extra_trees,wf_05,median_preselection_folds_v2_1,3,0.5238447920806387,0.4913014648260896,0.014489253277925326,0.5548851716704603,580,0.5603448275862069,0.5358067556764625,0.44870824775699925,0.6956521739130435,0.548689138576779,0.11721611721611722,0.9543973941368078,0.13228053279291896,0.5248117788834401,0.252280514046112,0.415,"[[32, 241], [14, 293]]"
5,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,3,0.5318078953985417,0.5073232808298118,0.025179057339895294,0.5051905600057474,580,0.5258620689655172,0.508304399183878,0.46818974456436574,0.49137931034482757,0.5344827586206896,0.2087912087912088,0.8078175895765473,0.02072529586812397,0.4893868346637076,0.2910676381419625,0.365,"[[57, 216], [59, 248]]"
