horizon,variant,feature_count,hurst_features_enabled,meta_model_allowed,selected_strategy,selected_candidate,validation_balanced_accuracy,validation_macro_f1,historical_holdout_balanced_accuracy,historical_holdout_macro_f1,historical_holdout_roc_auc,historical_holdout_brier_score,holdout_status,selection_uses_holdout
1,dfa_hurst_with_meta,70,True,True,stacked_meta_classifier,random_forest,0.5439847466947187,0.5350718980085981,0.5038709057727404,0.5003932672644329,0.4918515672525854,0.2498535669531226,historical_holdout_v1_previously_revealed,False
1,dfa_hurst_no_meta,70,True,False,best_base_model,random_forest,0.5199751356779114,0.509761146448835,0.5572247302532578,0.5516259001935218,0.5864310184740499,0.2466606072410836,historical_holdout_v1_previously_revealed,False
1,no_hurst_with_meta,65,False,True,stacked_meta_classifier,logistic_c02,0.5323833887202046,0.5287994364007385,0.5030736720776102,0.4974808107013905,0.5134184996638171,0.24910540224287545,historical_holdout_v1_previously_revealed,False
1,no_hurst_no_meta,65,False,False,best_base_model,logistic_c02,0.5230712219379826,0.5129638792676893,0.5271603752441328,0.49874094945964265,0.5611564691192008,0.2460933516303041,historical_holdout_v1_previously_revealed,False
1,legacy_hurst_no_meta,67,True,False,best_base_model,extra_trees,0.5368661390967557,0.5367336215338316,0.558499023468767,0.5585600061703002,0.5710306406685237,0.24990546889564888,historical_holdout_v1_previously_revealed,False
5,dfa_hurst_with_meta,70,True,True,best_base_model,extra_trees,0.5419924337957125,0.5103647598166234,0.5219422043010753,0.45822910475543566,0.5562903225806451,0.2558777776261305,historical_holdout_v1_previously_revealed,False
5,dfa_hurst_no_meta,70,True,False,best_base_model,extra_trees,0.5419924337957125,0.5103647598166234,0.5219422043010753,0.45822910475543566,0.5562903225806451,0.2558777776261305,historical_holdout_v1_previously_revealed,False
5,no_hurst_with_meta,65,False,True,best_base_model,extra_trees,0.5318501170960187,0.46720771019836443,0.5372983870967742,0.43081161262979445,0.5392607526881721,0.2560423074908013,historical_holdout_v1_previously_revealed,False
5,no_hurst_no_meta,65,False,False,best_base_model,extra_trees,0.5318501170960187,0.46720771019836443,0.5372983870967742,0.43081161262979445,0.5392607526881721,0.2560423074908013,historical_holdout_v1_previously_revealed,False
5,legacy_hurst_no_meta,67,True,False,best_base_model,logistic_c10,0.49724974479072837,0.47348837209302325,0.548891129032258,0.5491510914538451,0.5772513440860215,0.26184921615407925,historical_holdout_v1_previously_revealed,False
10,dfa_hurst_with_meta,70,True,True,best_base_model,extra_trees,0.5564484942234253,0.5151685842761358,0.5046710272120108,0.4034954407294833,0.5324005078103439,0.26417562290061897,historical_holdout_v1_previously_revealed,False
10,dfa_hurst_no_meta,70,True,False,best_base_model,extra_trees,0.5564484942234253,0.5151685842761358,0.5046710272120108,0.4034954407294833,0.5324005078103439,0.26417562290061897,historical_holdout_v1_previously_revealed,False
10,no_hurst_with_meta,65,False,True,best_base_model,extra_trees,0.5461400879779572,0.5136116152450091,0.5010832367389745,0.4092352817934213,0.49131340729701384,0.265538538869234,historical_holdout_v1_previously_revealed,False
10,no_hurst_no_meta,65,False,False,best_base_model,extra_trees,0.5461400879779572,0.5136116152450091,0.5010832367389745,0.4092352817934213,0.49131340729701384,0.265538538869234,historical_holdout_v1_previously_revealed,False
10,legacy_hurst_no_meta,67,True,False,best_base_model,extra_trees,0.5420191424566152,0.5030166800918217,0.5021837224706077,0.39256055686980124,0.5020146823425512,0.26681591546394345,historical_holdout_v1_previously_revealed,False
20,dfa_hurst_with_meta,70,True,True,stacked_meta_classifier,extra_trees,0.6339743589743589,0.6342745217903893,0.5037899194875939,0.48204040127169767,0.5333572775433241,0.24855761334510384,historical_holdout_v1_previously_revealed,False
20,dfa_hurst_no_meta,70,True,False,best_base_model,extra_trees,0.5330128205128205,0.4352861855570806,0.47210125407799824,0.2802666303318895,0.46672503067851906,0.28581201277401125,historical_holdout_v1_previously_revealed,False
20,no_hurst_with_meta,65,False,True,stacked_meta_classifier,extra_trees,0.5679487179487179,0.5677434001225281,0.4825394331208285,0.46408232997071264,0.47925832809553737,0.25217210230475956,historical_holdout_v1_previously_revealed,False
20,no_hurst_no_meta,65,False,False,best_base_model,extra_trees,0.5461538461538462,0.4347090579773858,0.47206384124988776,0.26483791337847173,0.44793630840142473,0.28783435944225055,historical_holdout_v1_previously_revealed,False
20,legacy_hurst_no_meta,67,True,False,best_base_model,extra_trees,0.5471153846153847,0.42965420577329094,0.4797858489718955,0.26808164513082544,0.47386339828200297,0.28530860294319255,historical_holdout_v1_previously_revealed,False
