horizon,benchmark,return_definition,cost_convention,n_non_overlapping_observations,n_non_overlapping_trades,trade_coverage,hit_rate,mean_net_log_return,cumulative_net_return,max_drawdown,annualized_sharpe,annualization_periods_per_year,n_decision_opportunities
1,model,next_open_to_open_after_h_bars,round_trip_total,23,23,0.028967254408060455,0.6521739130434783,0.00013927228607118523,0.0032083985076587496,-0.04282302328397569,0.023858003517782812,7.299748110831234,794
1,always_long,next_open_to_open_after_h_bars,round_trip_total,23,23,0.028967254408060455,0.4782608695652174,-0.002499496145125233,-0.055867168440593695,-0.07654073570242215,-0.431442693916604,7.299748110831234,794
1,always_short,next_open_to_open_after_h_bars,round_trip_total,23,23,0.028967254408060455,0.43478260869565216,0.001499746061823138,0.035095982799564274,-0.039709006799544144,0.25887396640548643,7.299748110831234,794
1,cash,next_open_to_open_after_h_bars,round_trip_total,23,0,0.0,,,0.0,0.0,,7.299748110831234,794
1,last_return_momentum,next_open_to_open_after_h_bars,round_trip_total,23,23,0.028967254408060455,0.5217391304347826,-0.00024687033761084585,-0.005661928288693718,-0.055876021232830975,-0.042259478785732676,7.299748110831234,794
1,moving_average_20,next_open_to_open_after_h_bars,round_trip_total,23,23,0.028967254408060455,0.43478260869565216,-0.0029720203267883526,-0.06607250058246128,-0.11137518405742763,-0.5153345122317061,7.299748110831234,794
1,volatility_filtered_momentum,next_open_to_open_after_h_bars,round_trip_total,23,6,0.007556675062972292,0.16666666666666666,-0.0048680896408628575,-0.028786091508637313,-0.028786091508637313,-0.9827324859301778,7.299748110831234,794
1,full_period_buy_and_hold,next_open_to_open_after_h_bars,round_trip_total,794,794,1.0,0.5289672544080605,0.00044805843426742295,0.42726267538660334,-0.30900933926303054,0.5631436109539649,252.0,794
5,model,next_open_to_open_after_h_bars,round_trip_total,115,115,0.14556962025316456,0.46956521739130436,-0.0005605744257141513,-0.06243206424447745,-0.3522575753580731,-0.11438570965015492,36.68354430379747,790
5,always_long,next_open_to_open_after_h_bars,round_trip_total,115,115,0.14556962025316456,0.5739130434782609,0.0021893273392412176,0.2863035552226125,-0.20441425946071723,0.4485943454075317,36.68354430379747,790
5,always_short,next_open_to_open_after_h_bars,round_trip_total,115,115,0.14556962025316456,0.41739130434782606,-0.003189077422543315,-0.3070129061733903,-0.4448136754751856,-0.653443673395856,36.68354430379747,790
5,cash,next_open_to_open_after_h_bars,round_trip_total,115,0,0.0,,,0.0,0.0,,36.68354430379747,790
5,last_return_momentum,next_open_to_open_after_h_bars,round_trip_total,115,115,0.14556962025316456,0.4608695652173913,-0.0020243715993400195,-0.20769014603482083,-0.3345759440003261,-0.4136246526238792,36.68354430379747,790
5,moving_average_20,next_open_to_open_after_h_bars,round_trip_total,115,115,0.14556962025316456,0.48695652173913045,-0.0006884714923886474,-0.07612104926887475,-0.2758693030124323,-0.14048578411423468,36.68354430379747,790
5,volatility_filtered_momentum,next_open_to_open_after_h_bars,round_trip_total,115,53,0.0670886075949367,0.5471698113207547,0.0021822928837250026,0.12261582799863024,-0.12917097788307952,0.43581579783939134,36.68354430379747,790
5,full_period_buy_and_hold,next_open_to_open_after_h_bars,round_trip_total,158,158,0.2,0.6012658227848101,0.004279616217477545,0.9663506489578628,-0.2647790940705673,1.100665185845895,50.4,790
10,model,next_open_to_open_after_h_bars,round_trip_total,63,63,0.08025477707006369,0.42857142857142855,-0.006340794580245747,-0.32932462944859753,-0.4538013493565842,-0.7148702156693154,20.22420382165605,785
10,always_long,next_open_to_open_after_h_bars,round_trip_total,63,63,0.08025477707006369,0.6031746031746031,0.007647320584975903,0.6189555139849683,-0.15606411626327021,0.8711907753176636,20.22420382165605,785
10,always_short,next_open_to_open_after_h_bars,round_trip_total,63,63,0.08025477707006369,0.38095238095238093,-0.008647070668278004,-0.4200222000378342,-0.5153783755995431,-0.9850833525305229,20.22420382165605,785
10,cash,next_open_to_open_after_h_bars,round_trip_total,63,0,0.0,,,0.0,0.0,,20.22420382165605,785
10,last_return_momentum,next_open_to_open_after_h_bars,round_trip_total,63,63,0.08025477707006369,0.3968253968253968,0.0012200718054571154,0.0798957662465496,-0.19387878319202811,0.13620419334563083,20.22420382165605,785
10,moving_average_20,next_open_to_open_after_h_bars,round_trip_total,63,63,0.08025477707006369,0.5238095238095238,0.00554842524985745,0.4184302334659551,-0.21089150240254928,0.6260304317658438,20.22420382165605,785
10,volatility_filtered_momentum,next_open_to_open_after_h_bars,round_trip_total,63,29,0.03694267515923567,0.5862068965517241,0.011696599267630805,0.40382601749414815,-0.0738646128572662,1.086638300011976,20.22420382165605,785
10,full_period_buy_and_hold,next_open_to_open_after_h_bars,round_trip_total,79,79,0.10063694267515924,0.5822784810126582,0.009059107476606139,1.0455557043556492,-0.19985603674260155,1.4309188193619773,25.360509554140126,785
20,model,next_open_to_open_after_h_bars,round_trip_total,33,33,0.04258064516129032,0.45454545454545453,-0.000245536519163644,-0.00806996670013016,-0.29765768973614926,-0.01579240144540061,10.730322580645161,775
20,always_long,next_open_to_open_after_h_bars,round_trip_total,33,33,0.04258064516129032,0.6666666666666666,0.015626547389876334,0.6747703708779875,-0.18627007691531106,1.0614213973716864,10.730322580645161,775
20,always_short,next_open_to_open_after_h_bars,round_trip_total,33,33,0.04258064516129032,0.3333333333333333,-0.016626297473178436,-0.422281074480623,-0.5275369915248901,-1.1293286646627612,10.730322580645161,775
20,cash,next_open_to_open_after_h_bars,round_trip_total,33,0,0.0,,,0.0,0.0,,10.730322580645161,775
20,last_return_momentum,next_open_to_open_after_h_bars,round_trip_total,33,33,0.04258064516129032,0.6060606060606061,0.005011813635170833,0.17985299470779137,-0.1924434841963507,0.3243097082310018,10.730322580645161,775
20,moving_average_20,next_open_to_open_after_h_bars,round_trip_total,33,33,0.04258064516129032,0.5151515151515151,0.007263032596240859,0.27084251184652475,-0.11084073444678744,0.47283570768901995,10.730322580645161,775
20,volatility_filtered_momentum,next_open_to_open_after_h_bars,round_trip_total,33,17,0.02193548387096774,0.5882352941176471,0.011829631580226466,0.22275160966158736,-0.09918596573786687,0.5398532319632988,10.730322580645161,775
20,full_period_buy_and_hold,next_open_to_open_after_h_bars,round_trip_total,39,39,0.05032258064516129,0.6666666666666666,0.018908245800255796,1.0905382865943758,-0.182343279683305,1.6089058262825209,12.681290322580645,775
