horizon,split_id,test_group_ids,train_start_row,train_end_row,test_start_row,test_end_row,n_train_raw,n_train,n_test,purged_count,embargoed_count
1,cpcv_001,0|1,837,3219,40,835,2384,2383,796,1,0
1,cpcv_002,0|2,439,3219,40,1233,2384,2381,796,3,0
1,cpcv_003,0|3,439,3219,40,1631,2384,2381,796,3,0
1,cpcv_004,0|4,439,3219,40,2028,2385,2382,795,3,0
1,cpcv_005,0|5,439,3219,40,2425,2385,2382,795,3,0
1,cpcv_006,0|6,439,3219,40,2822,2385,2382,795,3,0
1,cpcv_007,0|7,439,2821,40,3219,2385,2383,795,2,0
1,cpcv_008,1|2,40,3219,438,1233,2384,2382,796,2,0
1,cpcv_009,1|3,40,3219,438,1631,2384,2380,796,4,0
1,cpcv_010,1|4,40,3219,438,2028,2385,2381,795,4,0
1,cpcv_011,1|5,40,3219,438,2425,2385,2381,795,4,0
1,cpcv_012,1|6,40,3219,438,2822,2385,2381,795,4,0
1,cpcv_013,1|7,40,2821,438,3219,2385,2382,795,3,0
1,cpcv_014,2|3,40,3219,836,1631,2384,2382,796,2,0
1,cpcv_015,2|4,40,3219,836,2028,2385,2381,795,4,0
1,cpcv_016,2|5,40,3219,836,2425,2385,2381,795,4,0
1,cpcv_017,2|6,40,3219,836,2822,2385,2381,795,4,0
1,cpcv_018,2|7,40,2821,836,3219,2385,2382,795,3,0
1,cpcv_019,3|4,40,3219,1234,2028,2385,2383,795,2,0
1,cpcv_020,3|5,40,3219,1234,2425,2385,2381,795,4,0
1,cpcv_021,3|6,40,3219,1234,2822,2385,2381,795,4,0
1,cpcv_022,3|7,40,2821,1234,3219,2385,2382,795,3,0
1,cpcv_023,4|5,40,3219,1632,2425,2386,2384,794,2,0
1,cpcv_024,4|6,40,3219,1632,2822,2386,2382,794,4,0
1,cpcv_025,4|7,40,2821,1632,3219,2386,2383,794,3,0
1,cpcv_026,5|6,40,3219,2029,2822,2386,2384,794,2,0
1,cpcv_027,5|7,40,2821,2029,3219,2386,2383,794,3,0
1,cpcv_028,6|7,40,2424,2426,3219,2386,2385,794,1,0
5,cpcv_001,0|1,839,3215,40,833,2382,2377,794,5,0
5,cpcv_002,0|2,442,3215,40,1230,2382,2367,794,15,0
5,cpcv_003,0|3,442,3215,40,1627,2382,2367,794,15,0
5,cpcv_004,0|4,442,3215,40,2024,2382,2367,794,15,0
5,cpcv_005,0|5,442,3215,40,2421,2382,2367,794,15,0
5,cpcv_006,0|6,442,3215,40,2818,2382,2367,794,15,0
5,cpcv_007,0|7,442,2813,40,3215,2382,2372,794,10,0
5,cpcv_008,1|2,40,3215,437,1230,2382,2372,794,10,0
5,cpcv_009,1|3,40,3215,437,1627,2382,2362,794,20,0
5,cpcv_010,1|4,40,3215,437,2024,2382,2362,794,20,0
5,cpcv_011,1|5,40,3215,437,2421,2382,2362,794,20,0
