horizon,variant,fold_id,candidate,n_validation,balanced_accuracy,macro_f1,roc_auc,train_start_row,train_end_row,validation_start_row,validation_end_row,n_train_raw,n_train,purged_count,embargoed_count
1,dfa_hurst_with_meta,wf_01,logistic_c02,580,0.5008506739955503,0.3588192234721164,0.5214453129647476,40,319,321,900,281,280,1,0
1,dfa_hurst_with_meta,wf_01,logistic_c10,580,0.5098690081022237,0.4067019400352734,0.5138427859275916,40,319,321,900,281,280,1,0
1,dfa_hurst_with_meta,wf_01,random_forest,580,0.5005532355355676,0.44422715894868586,0.4953302161782727,40,319,321,900,281,280,1,0
1,dfa_hurst_with_meta,wf_01,extra_trees,580,0.4985068589308872,0.4941457586618877,0.4936883558791686,40,319,321,900,281,280,1,0
1,dfa_hurst_with_meta,wf_01,hist_gradient_boosting,580,0.48631783084079905,0.40465664603595636,0.4887746725202555,40,319,321,900,281,280,1,0
1,dfa_hurst_with_meta,wf_02,logistic_c02,580,0.5416353461956068,0.5414195867026056,0.5528033313049601,40,899,901,1480,861,860,1,0
1,dfa_hurst_with_meta,wf_02,logistic_c10,580,0.5542530216797318,0.5542130841121495,0.55509420004534,40,899,901,1480,861,860,1,0
1,dfa_hurst_with_meta,wf_02,random_forest,580,0.5253546670484781,0.524720021851953,0.5603083127513095,40,899,901,1480,861,860,1,0
1,dfa_hurst_with_meta,wf_02,extra_trees,580,0.5199019221820524,0.48738167755840966,0.5447375642815382,40,899,901,1480,861,860,1,0
1,dfa_hurst_with_meta,wf_02,hist_gradient_boosting,580,0.5450895467182113,0.5450790460199635,0.5600935438068989,40,899,901,1480,861,860,1,0
1,dfa_hurst_with_meta,wf_03,logistic_c02,580,0.4990461997019374,0.4836416092515972,0.48803576751117733,40,1479,1481,2060,1441,1440,1,0
1,dfa_hurst_with_meta,wf_03,logistic_c10,580,0.4976154992548435,0.48676415448068994,0.48709388971684053,40,1479,1481,2060,1441,1440,1,0
1,dfa_hurst_with_meta,wf_03,random_forest,580,0.48953800298062594,0.38345574023965984,0.5096631892697466,40,1479,1481,2060,1441,1440,1,0
1,dfa_hurst_with_meta,wf_03,extra_trees,580,0.5057526080476901,0.4136723838471559,0.496822652757079,40,1479,1481,2060,1441,1440,1,0
1,dfa_hurst_with_meta,wf_03,hist_gradient_boosting,580,0.4923397913561848,0.42660162601626017,0.5256631892697466,40,1479,1481,2060,1441,1440,1,0
1,dfa_hurst_with_meta,wf_04,logistic_c02,580,0.4891826923076923,0.47826190561294396,0.5044711538461538,40,2059,2061,2640,2021,2020,1,0
1,dfa_hurst_with_meta,wf_04,logistic_c10,580,0.4911057692307692,0.47990740933831044,0.503389423076923,40,2059,2061,2640,2021,2020,1,0
1,dfa_hurst_with_meta,wf_04,random_forest,580,0.5100961538461538,0.49899322062170115,0.5160697115384616,40,2059,2061,2640,2021,2020,1,0
1,dfa_hurst_with_meta,wf_04,extra_trees,580,0.4947115384615385,0.4353795329791109,0.5084134615384616,40,2059,2061,2640,2021,2020,1,0
1,dfa_hurst_with_meta,wf_04,hist_gradient_boosting,580,0.4866586538461538,0.4840394988560327,0.4991346153846154,40,2059,2061,2640,2021,2020,1,0
1,dfa_hurst_with_meta,wf_05,logistic_c02,579,0.49772873980921417,0.4953435059818039,0.49841011786644984,40,2639,2641,3219,2601,2600,1,0
1,dfa_hurst_with_meta,wf_05,logistic_c10,579,0.5043512563655055,0.5024110766292671,0.4975016137901356,40,2639,2641,3219,2601,2600,1,0
1,dfa_hurst_with_meta,wf_05,random_forest,579,0.5064192985392211,0.48810423881761866,0.5040763143424104,40,2639,2641,3219,2601,2600,1,0
1,dfa_hurst_with_meta,wf_05,extra_trees,579,0.5045425203815718,0.3986403550184119,0.5291797164510962,40,2639,2641,3219,2601,2600,1,0
1,dfa_hurst_with_meta,wf_05,hist_gradient_boosting,579,0.5285879934013915,0.5282947922541831,0.5292155784541086,40,2639,2641,3219,2601,2600,1,0
1,dfa_hurst_no_meta,wf_01,logistic_c02,580,0.5008506739955503,0.3588192234721164,0.5214453129647476,40,319,321,900,281,280,1,0
1,dfa_hurst_no_meta,wf_01,logistic_c10,580,0.5098690081022237,0.4067019400352734,0.5138427859275916,40,319,321,900,281,280,1,0
1,dfa_hurst_no_meta,wf_01,random_forest,580,0.5005532355355676,0.44422715894868586,0.4953302161782727,40,319,321,900,281,280,1,0
1,dfa_hurst_no_meta,wf_01,extra_trees,580,0.4985068589308872,0.4941457586618877,0.4936883558791686,40,319,321,900,281,280,1,0
1,dfa_hurst_no_meta,wf_01,hist_gradient_boosting,580,0.48631783084079905,0.40465664603595636,0.4887746725202555,40,319,321,900,281,280,1,0
1,dfa_hurst_no_meta,wf_02,logistic_c02,580,0.5416353461956068,0.5414195867026056,0.5528033313049601,40,899,901,1480,861,860,1,0
1,dfa_hurst_no_meta,wf_02,logistic_c10,580,0.5542530216797318,0.5542130841121495,0.55509420004534,40,899,901,1480,861,860,1,0
