<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	1415.71	1423.77	1412.90	1414.54	35547	0	0
2011.01.04	1415.88	1417.04	1374.80	1380.30	45266	0	0
2011.01.05	1384.36	1384.58	1363.90	1377.98	50511	0	0
2011.01.06	1374.82	1379.64	1364.72	1371.31	45803	0	0
2011.01.07	1370.23	1378.46	1352.79	1368.78	49262	0	0
2011.01.10	1369.34	1375.90	1365.58	1375.19	41563	0	0
2011.01.11	1375.11	1386.50	1373.18	1381.22	43849	0	0
2011.01.12	1382.98	1388.61	1376.73	1387.52	43495	0	0
2011.01.13	1386.01	1393.00	1369.53	1373.27	61125	0	0
2011.01.14	1374.86	1377.91	1354.95	1361.78	84605	0	0
2011.01.17	1363.49	1365.62	1357.12	1362.24	57256	0	0
2011.01.18	1361.77	1376.04	1361.33	1367.91	83109	0	0
2011.01.19	1368.27	1378.77	1367.10	1369.68	85403	0	0
2011.01.20	1369.62	1370.90	1343.32	1345.88	93850	0	0
2011.01.21	1348.61	1350.06	1337.61	1342.35	91479	0	0
2011.01.24	1345.82	1353.08	1332.58	1334.02	78134	0	0
2011.01.25	1337.65	1338.32	1322.63	1331.98	89964	0	0
2011.01.26	1331.85	1346.49	1324.94	1345.44	79421	0	0
2011.01.27	1344.52	1347.80	1310.15	1313.45	65449	0	0
2011.01.28	1314.08	1346.87	1307.88	1336.31	87339	0	50
2011.01.31	1344.47	1344.80	1322.96	1332.40	93965	0	50
2011.02.01	1332.31	1342.74	1325.25	1340.96	94821	0	50
2011.02.02	1341.46	1342.76	1326.64	1334.82	88458	0	50
2011.02.03	1333.23	1355.63	1324.82	1353.95	91206	0	50
2011.02.04	1352.90	1357.87	1345.02	1348.65	84660	0	50
2011.02.07	1346.52	1352.96	1344.99	1350.90	74814	0	50
2011.02.08	1350.54	1367.71	1348.25	1363.52	82309	0	50
2011.02.09	1361.82	1366.92	1358.02	1363.31	83779	0	50
2011.02.10	1363.39	1365.75	1351.03	1363.44	80774	0	50
2011.02.11	1363.51	1368.00	1353.96	1356.63	76985	0	50
2011.02.14	1354.10	1366.49	1354.10	1361.48	35646	0	50
2011.02.15	1361.18	1376.30	1361.18	1373.45	31833	0	50
2011.02.16	1372.10	1381.66	1368.05	1374.10	37279	0	50
2011.02.17	1374.92	1384.74	1374.10	1383.67	59138	0	50
2011.02.18	1383.83	1391.65	1381.68	1389.79	43367	0	50
2011.02.21	1391.40	1408.26	1390.63	1405.83	46727	0	50
2011.02.22	1408.72	1410.78	1392.64	1398.78	94483	0	50
2011.02.23	1398.75	1416.46	1395.41	1411.30	83475	0	50
2011.02.24	1413.26	1417.94	1392.39	1402.47	93655	0	50
2011.02.25	1402.99	1411.27	1399.66	1410.15	83188	0	50
2011.02.28	1413.85	1416.23	1404.67	1411.12	87312	0	50
2011.03.01	1410.87	1434.63	1409.10	1433.00	87012	0	50
2011.03.02	1432.17	1440.01	1427.48	1434.10	86396	0	50
2011.03.03	1432.74	1436.07	1410.07	1415.70	93874	0	50
2011.03.04	1414.85	1431.82	1414.59	1430.64	85960	0	50
2011.03.07	1434.65	1444.48	1428.03	1431.71	94758	0	50
2011.03.08	1430.90	1436.55	1423.16	1428.67	91083	0	50
2011.03.09	1428.14	1436.01	1422.92	1430.64	80707	0	50
2011.03.10	1429.10	1431.34	1402.87	1411.45	89163	0	50
2011.03.11	1412.49	1423.90	1404.65	1417.20	92354	0	50
2011.03.14	1425.68	1430.23	1418.60	1423.88	89425	0	50
2011.03.15	1425.73	1425.93	1380.88	1399.83	112299	0	50
2011.03.16	1393.20	1405.75	1392.20	1399.39	100625	0	50
2011.03.17	1387.71	1404.87	1387.67	1402.10	99243	0	50
2011.03.18	1409.27	1423.59	1405.71	1418.16	37391	0	50
2011.03.21	1424.28	1434.65	1423.61	1426.75	13798	0	50
2011.03.22	1427.35	1431.93	1419.32	1428.31	17610	0	50
2011.03.23	1426.96	1440.75	1425.51	1437.75	13992	0	50
2011.03.24	1437.65	1447.40	1423.80	1430.75	15512	0	50
2011.03.25	1432.50	1437.70	1422.35	1429.32	15086	0	50
2011.03.28	1424.90	1427.95	1410.08	1419.92	19710	0	50
2011.03.29	1420.42	1423.00	1410.95	1418.15	18171	0	50
2011.03.30	1416.78	1429.80	1411.80	1422.60	18458	0	50
2011.03.31	1423.20	1439.30	1420.25	1431.90	17917	0	50
2011.04.01	1432.48	1435.83	1412.74	1428.35	17715	0	50
2011.04.04	1428.45	1438.53	1427.60	1433.65	14163	0	50
2011.04.05	1435.55	1456.95	1429.75	1455.60	18764	0	50
2011.04.06	1454.43	1462.00	1451.20	1459.35	19194	0	50
2011.04.07	1459.15	1464.70	1452.40	1457.80	14932	0	50
