task,horizon,selected_model_id,primary_comparison_baseline_id,metric_name,selected_model_metric,baseline_metric,improvement_absolute,selected_better_than_baseline,baseline_selected_pre_locked_test_evaluation,post_hoc_baseline_selection_used,metric_valid
direction_classification,1,direction_classification_h1_hge_rule_based,majority_class_static_v1,macro_f1,0.2936285247149992,0.2061579651941097,0.0874705595208894,True,True,False,True
direction_classification,5,direction_classification_h5_tree_ensemble,majority_class_static_v1,macro_f1,0.4205542684214684,0.1763826606875934,0.244171607733875,True,True,False,True
direction_classification,10,direction_classification_h10_tree_ensemble,majority_class_static_v1,macro_f1,0.413701334596857,0.1633986928104575,0.2503026417863995,True,True,False,True
direction_classification,20,direction_classification_h20_tree_ensemble,majority_class_static_v1,macro_f1,0.3962924362611699,0.1703703703703703,0.2259220658907995,True,True,False,True
return_regression,1,return_regression_h1_baseline,historical_mean_return_static_v1,RMSE,0.0105798397448987,0.0105771928989017,-2.646845997045233e-06,False,True,False,True
return_regression,5,return_regression_h5_baseline,historical_mean_return_static_v1,RMSE,0.0265176495988739,0.0264892602641182,-2.8389334755653944e-05,False,True,False,True
return_regression,10,return_regression_h10_tree_ensemble,historical_mean_return_static_v1,RMSE,0.0408619210845417,0.0385683205876209,-0.0022936004969208,False,True,False,True
return_regression,20,return_regression_h20_baseline,historical_mean_return_static_v1,RMSE,0.0620382888102228,0.0615893856549919,-0.0004489031552309,False,True,False,True
trade_action_classification,1,trade_action_classification_h1_tree_ensemble,flat_or_majority_static_v1,macro_f1,0.255428024868484,0.2043010752688172,0.0511269495996667,True,True,False,True
trade_action_classification,5,trade_action_classification_h5_tree_ensemble,flat_or_majority_static_v1,macro_f1,0.4123397498983059,0.2345191040843215,0.1778206458139844,True,True,False,True
trade_action_classification,10,trade_action_classification_h10_tree_ensemble,flat_or_majority_static_v1,macro_f1,0.3495435393258426,0.2202898550724637,0.1292536842533788,True,True,False,True
trade_action_classification,20,trade_action_classification_h20_hge_rule_based,flat_or_majority_static_v1,macro_f1,0.3291086244956991,0.2013888888888888,0.1277197356068103,True,True,False,True
volatility_regression,1,volatility_regression_h1_hge_rule_based,historical_variance_static_v1,QLIKE,-7.980951599985679,-8.088901656397828,-0.1079500564121493,False,True,False,True
volatility_regression,5,volatility_regression_h5_tree_ensemble,historical_variance_static_v1,QLIKE,-6.415005174132998,-6.458370037745903,-0.0433648636129051,False,True,False,True
volatility_regression,10,volatility_regression_h10_tree_ensemble,historical_variance_static_v1,QLIKE,-5.720522993798436,-5.766428334358781,-0.0459053405603446,False,True,False,True
volatility_regression,20,volatility_regression_h20_hge_rule_based,historical_variance_static_v1,QLIKE,-4.982594423764535,-5.046751132829574,-0.0641567090650392,False,True,False,True
